uuid,region,settlement,brand,krs_name_s,n_city,d_1,d_road,d_city,popul_dens
e90c3aa7-34b7-43cb-bd6b-440e5944aa51,['Sachsen'],Stadtkreis,ARAL,['Leipzig'],Leipzig,"722","6912","3612","2087"
f55d53da-5bd9-4a06-b42f-09950efaac11,['Sachsen'],Landkreis,TotalEnergies,['Meißen'],Dresden,"802","21094","42628","167"
005056ba-7cb6-1ed2-bceb-c728d2744d53,['Sachsen'],Landkreis,STAR,['Zwickau'],Chemnitz,"1110","9939","40793","337"
0603c159-46dc-453a-baeb-bf91f14dc3d1,['Sachsen'],Landkreis,TotalEnergies,['Sächsische Schweiz-Osterzgebirge'],Dresden,"631","3990","8793","148"
1d6ce6e9-9b7c-4918-af38-53743a58a8b9,['Sachsen'],Landkreis,SB,['Sächsische Schweiz-Osterzgebirge'],Dresden,"544","3792","16623","148"
6a625a13-310c-43fb-8316-4e8027a54510,['Sachsen'],Landkreis,ARAL,['Zwickau'],Chemnitz,"902","8446","31976","337"
005056ba-7cb6-1ed2-bceb-b09f70c64d45,['Sachsen'],Landkreis,STAR,['Sächsische Schweiz-Osterzgebirge'],Dresden,"1039","1240","12386","148"
005056ba-7cb6-1ed2-bceb-b268c0ce4d48,['Sachsen'],Landkreis,STAR,['Landkreis Vogtlandkreis'],Chemnitz,"9670","27366","60958","163"
3b708fcc-654f-4d09-9089-311cf2f11cb3,['Sachsen'],Landkreis,TotalEnergies,['Mittelsachsen'],Chemnitz,"3045","3745","32559","146"
e1a15081-2560-9107-e040-0b0a3dfe563c,['Sachsen'],Landkreis,HEM,['Nordsachsen'],Leipzig,"544","34828","47657","98"
7dddd7b1-387a-488f-9df1-b6909e3367fc,['Sachsen'],Landkreis,TotalEnergies,['Nordsachsen'],Leipzig,"3371","16936","21154","98"
f604797a-7241-4338-bb84-c87bae899d7e,['Sachsen'],Landkreis,ESSO,['Meißen'],Chemnitz,"2561","205","37349","167"
f6b5a3f1-2a2b-441e-a4f6-5833f8aef449,['Sachsen'],Landkreis,TotalEnergies,['Landkreis Erzgebirgskreis'],Chemnitz,"440","31279","26329","186"
fd19625d-e344-460d-aa9a-44684c486b50,['Sachsen'],Landkreis,OIL!,['Landkreis Erzgebirgskreis'],Chemnitz,"1741","14395","32738","186"
a7f875ce-82db-4a4e-aab6-4a162af66423,['Sachsen'],Landkreis,ESSO,['Leipzig'],Leipzig,"0","11843","26177","2087"
005056ba-7cb6-1ed2-bceb-bdab22cd0d4e,['Sachsen'],Stadtkreis,STAR,['Leipzig'],Leipzig,"786","6641","5502","2087"
005056ba-7cb6-1ed2-bceb-bde54a520d4e,['Sachsen'],Stadtkreis,ORLEN,['Chemnitz'],Chemnitz,"1671","6216","2734","1134"
005056ba-7cb6-1ed2-bceb-be1b10ed4d4e,['Sachsen'],Stadtkreis,STAR,['Chemnitz'],Chemnitz,"1386","5581","1537","1134"
005056ba-7cb6-1ed2-bceb-be55633c0d4e,['Sachsen'],Stadtkreis,STAR,['Chemnitz'],Chemnitz,"1005","2894","3788","1134"
